"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A→B","Bytes A→B","Packets A←B","Bytes A←B","Rel Start","Duration","bps A→B","bps A←B"
"1.1.2.3","41129","5.6.7.8","http","12","3251","7","586","5","2665","12.964275000","0.0033","1401913.88","6375598.09"
"1.1.2.3","41130","5.6.7.8","http","12","3629","7","586","5","3043","13.087649000","0.0034","1371161.16","7120210.59"
"1.1.2.3","41131","5.6.7.8","http","16","5573","9","718","7","4855","13.564051000","0.0039","1457128.36","9852866.57"
"1.1.2.3","41132","5.6.7.8","http","14","4496","8","652","6","3844","13.867083000","0.0047","1108843.54","6537414.97"
"1.1.2.3","41133","5.6.7.8","http","10","2106","6","520","4","1586","13.873662000","0.0036","1161362.37","3542155.22"
"1.1.2.3","41134","5.6.7.8","http","20","9328","11","850","9","8478","13.880862000","0.0040","1694070.75","16896860.99"
"1.1.2.3","41135","5.6.7.8","http","22","11171","12","916","10","10255","13.947867000","0.0040","1831542.11","20504873.78"
"1.1.2.3","41136","5.6.7.8","http","14","4363","8","652","6","3711","14.102270000","0.0035","1491137.79","8487135.51"
"1.1.2.3","41137","5.6.7.8","http","12","3734","7","586","5","3148","14.300593000","0.0037","1283680.18","6895947.43"
"1.1.2.3","41138","5.6.7.8","http","14","3956","8","652","6","3304","15.005861000","0.0035","1495412.84","7577981.65"
"1.1.2.3","41139","5.6.7.8","http","16","5803","9","718","7","5085","15.159873000","0.0036","1584988.96","11225165.56"
"1.1.2.3","41140","5.6.7.8","http","20","9370","11","850","9","8520","15.307158000","0.0170","400164.77","4011063.38"
"1.1.2.3","41141","5.6.7.8","http","18","7973","10","784","8","7189","15.329476000","0.0038","1652265.54","15150684.93"
"1.1.2.3","41142","5.6.7.8","http","16","6849","9","718","7","6131","16.185846000","0.0039","1479649.67","12634724.37"
"1.1.2.3","41143","5.6.7.8","http","12","2410","7","586","5","1824","16.274966000","0.0035","1332196.65","4146632.57"
"1.1.2.3","41144","5.6.7.8","http","16","5678","9","718","7","4960","16.335042000","0.0037","1534188.03","10598290.60"
"1.1.2.3","41145","5.6.7.8","http","12","3056","7","586","5","2470","16.420731000","0.0034","1391923.99","5866983.37"
"1.1.2.3","41146","5.6.7.8","http","18","7434","10","784","8","6650","16.472987000","0.0039","1597961.78","13554140.13"
"1.1.2.3","41147","5.6.7.8","http","22","11655","12","916","10","10739","16.670666000","0.0041","1798282.21","21082699.39"
"1.1.2.3","41148","5.6.7.8","http","16","5565","9","718","7","4847","16.974737000","0.0037","1548665.41","10454569.96"
"1.1.2.3","41149","5.6.7.8","http","22","11336","12","916","10","10420","17.277457000","0.0042","1725453.26","19627972.69"
"1.1.2.3","41150","5.6.7.8","http","20","9766","11","850","9","8916","17.476824000","0.0043","1597744.36","16759398.50"
"1.1.2.3","41151","5.6.7.8","http","14","4080","8","652","6","3428","17.507908000","0.0035","1501007.19","7891798.56"
"1.1.2.3","41152","5.6.7.8","http","20","9914","11","850","9","9064","17.549983000","0.0041","1667893.06","17785626.69"
"1.1.2.3","41153","5.6.7.8","http","18","8185","10","784","8","7401","17.718305000","0.0040","1574692.44","14865177.00"
"1.1.2.3","41154","5.6.7.8","http","12","3641","7","586","5","3055","17.870164000","0.0035","1347513.65","7025007.19"
"1.1.2.3","41155","5.6.7.8","http","16","6089","9","718","7","5371","18.125665000","0.0038","1526847.42","11421584.26"
"1.1.2.3","41156","5.6.7.8","http","18","7404","10","784","8","6620","18.323328000","0.0040","1577464.79","13319919.52"
"1.1.2.3","41157","5.6.7.8","http","10","2115","6","520","4","1595","18.607908000","0.0034","1228951.26","3769571.64"
"1.1.2.3","41158","5.6.7.8","http","22","11392","12","916","10","10476","18.691868000","0.0039","1885743.70","21566649.51"
"1.1.2.3","41159","5.6.7.8","http","12","2499","7","586","5","1913","18.715802000","0.0032","1458164.85","4760186.63"
"1.1.2.3","41160","5.6.7.8","http","20","9078","11","850","9","8228","18.778661000","0.0040","1719777.44","16647445.62"
"1.1.2.3","41161","5.6.7.8","http","24","11890","13","982","11","10908","18.827228000","0.0040","1985342.43","22053070.51"
"1.1.2.3","41162","5.6.7.8","http","20","9259","11","850","9","8409","19.275054000","0.0042","1637370.58","16198410.79"
"1.1.2.3","41163","5.6.7.8","http","20","9844","11","850","9","8994","19.287894000","0.0040","1702980.22","18019534.18"
"1.1.2.3","41164","5.6.7.8","http","10","2177","6","520","4","1657","19.628095000","0.0033","1245508.98","3968862.28"
"1.1.2.3","41165","5.6.7.8","http","12","3634","7","586","5","3048","19.845518000","0.0034","1373571.64","7144447.70"
"1.1.2.3","41166","5.6.7.8","http","12","3753","7","586","5","3167","20.622784000","0.0037","1272875.37","6879174.59"
"1.1.2.3","41167","5.6.7.8","http","18","7473","10","784","8","6689","20.929030000","0.0038","1633758.79","13939046.63"
"1.1.2.3","41168","5.6.7.8","http","18","7857","10","784","8","7073","21.298141000","0.0041","1519379.84","13707364.34"
"1.1.2.3","41169","5.6.7.8","http","20","9907","11","850","9","9057","21.432860000","0.0040","1683168.32","17934653.47"
"1.1.2.3","41170","5.6.7.8","http","12","2833","7","586","5","2247","21.596172000","0.0033","1414177.98","5422624.43"
"1.1.2.3","41171","5.6.7.8","http","18","7603","10","784","8","6819","21.645721000","0.0039","1614830.07","14045314.11"
"1.1.2.3","41172","5.6.7.8","http","16","6799","9","718","7","6081","21.816958000","0.0038","1504452.59","12741749.61"
"1.1.2.3","41173","5.6.7.8","http","16","6291","9","718","7","5573","22.054496000","0.0038","1513969.43","11751186.08"
"1.1.2.3","41174","5.6.7.8","http","20","9109","11","850","9","8259","22.118949000","0.0041","1644895.98","15982583.45"
"1.1.2.3","41175","5.6.7.8","http","12","3676","7","586","5","3090","22.427306000","0.0037","1274259.31","6719217.18"
"1.1.2.3","41176","5.6.7.8","http","20","9051","11","850","9","8201","22.603818000","0.0041","1666666.67","16080392.16"
"1.1.2.3","41177","5.6.7.8","http","14","4508","8","652","6","3856","22.655553000","0.0035","1486039.89","8788603.99"
"1.1.2.3","41178","5.6.7.8","http","22","11075","12","916","10","10159","23.228871000","0.0041","1805815.67","20027599.80"
"1.1.2.3","41179","5.6.7.8","http","12","2506","7","586","5","1920","23.672914000","0.0035","1340961.10","4393592.68"
"1.1.2.3","41180","5.6.7.8","http","16","5884","9","718","7","5166","23.746222000","0.0037","1545332.26","11118644.07"
"1.1.2.3","41181","5.6.7.8","http","12","3773","7","586","5","3187","24.373877000","0.0036","1304396.22","7094045.63"
"1.1.2.3","41182","5.6.7.8","http","10","2164","6","520","4","1644","24.431909000","0.0033","1254145.31","3965028.64"
"1.1.2.3","41183","5.6.7.8","http","12","3194","7","586","5","2608","24.774074000","0.0034","1360023.21","6052799.54"
"1.1.2.3","41184","5.6.7.8","http","20","9001","11","850","9","8151","24.922702000","0.0040","1711552.98","16412786.31"
"1.1.2.3","41185","5.6.7.8","http","14","4873","8","652","6","4221","25.064631000","0.0035","1504904.79","9742642.82"
"1.1.2.3","41186","5.6.7.8","http","18","7735","10","784","8","6951","25.095897000","0.0038","1650960.78","14637536.19"
"1.1.2.3","41187","5.6.7.8","http","14","5334","8","652","6","4682","25.194183000","0.0036","1467229.25","10536146.27"
"1.1.2.3","41188","5.6.7.8","http","14","5279","8","652","6","4627","25.302228000","0.0038","1378435.52","9782241.01"
"1.1.2.3","41189","5.6.7.8","http","18","8025","10","784","8","7241","25.481740000","0.0039","1596334.95","14743700.69"
"1.1.2.3","41190","5.6.7.8","http","12","2897","7","586","5","2311","25.683123000","0.0256","183218.04","722554.42"
"1.1.2.3","41191","5.6.7.8","http","22","11522","12","916","10","10606","26.148124000","0.0040","1850037.87","21420853.32"
"1.1.2.3","41192","5.6.7.8","http","14","4360","8","652","6","3708","26.343571000","0.0037","1410110.84","8019464.72"
"1.1.2.3","41193","5.6.7.8","http","20","9614","11","850","9","8764","26.489952000","0.0040","1709831.53","17629368.87"
"1.1.2.3","41194","5.6.7.8","http","22","10851","12","916","10","9935","26.698617000","0.0040","1821526.22","19756400.70"
"1.1.2.3","41195","5.6.7.8","http","20","10019","11","850","9","9169","26.833349000","0.0040","1711983.89","18467270.90"
"1.1.2.3","41196","5.6.7.8","http","18","8354","10","784","8","7570","26.993668000","0.0039","1590667.00","15358863.81"
"1.1.2.3","41197","5.6.7.8","http","12","2410","7","586","5","1824","27.402581000","0.0035","1333333.33","4150170.65"
"1.1.2.3","41198","5.6.7.8","http","22","11111","12","916","10","10195","27.431869000","0.0041","1796078.43","19990196.08"
"1.1.2.3","41199","5.6.7.8","http","22","11350","12","916","10","10434","27.804122000","0.0041","1799607.07","20499017.68"
"1.1.2.3","41200","5.6.7.8","http","22","10525","12","916","10","9609","28.477053000","0.0042","1746009.05","18315939.96"
"1.1.2.3","41201","5.6.7.8","http","12","3655","7","586","5","3069","28.778042000","0.0035","1351008.65","7075504.32"
"1.1.2.3","41202","5.6.7.8","http","16","6894","9","718","7","6176","29.370479000","0.0041","1395190.67","12000971.58"
"1.1.2.3","41203","5.6.7.8","http","18","8343","10","784","8","7559","29.389420000","0.0040","1550173.01","14946119.62"
"1.1.2.3","41204","5.6.7.8","http","20","8753","11","850","9","7903","29.542588000","0.0041","1646489.10","15308474.58"
"1.1.2.3","41205","5.6.7.8","http","18","7640","10","784","8","6856","29.672507000","0.0040","1568000.00","13712000.00"
"1.1.2.3","41206","5.6.7.8","http","16","6232","9","718","7","5514","29.778131000","0.0037","1571975.92","12072249.59"
"1.1.2.3","41207","5.6.7.8","http","14","4930","8","652","6","4278","30.017696000","0.0036","1468468.47","9635135.14"
"1.1.2.3","41208","5.6.7.8","http","20","9578","11","850","9","8728","30.145526000","0.0040","1694915.25","17403788.63"
"1.1.2.3","41209","5.6.7.8","http","12","3575","7","586","5","2989","30.194740000","0.0034","1370760.23","6991812.87"
"1.1.2.3","41210","5.6.7.8","http","18","7528","10","784","8","6744","30.214433000","0.0038","1653572.37","14224097.02"
"1.1.2.3","41211","5.6.7.8","http","18","7922","10","784","8","7138","30.568706000","0.0041","1531623.93","13944810.74"
"1.1.2.3","41212","5.6.7.8","http","16","6506","9","718","7","5788","30.867010000","0.0040","1451971.69","11704752.28"
"1.1.2.3","42320","5.6.7.8","http","2","114","1","54","1","60","30.900401000","0.0000","N/A","N/A"
"1.1.2.3","55569","5.6.7.8","http","2","114","1","54","1","60","31.114403000","0.0000","N/A","N/A"
"1.1.2.3","41213","5.6.7.8","http","3","222","3","222","0","0","31.561024000","8.9978","197.38","N/A"
"1.1.2.3","41214","5.6.7.8","http","3","222","3","222","0","0","31.928660000","8.9982","197.37","N/A"
"1.1.2.3","41215","5.6.7.8","http","3","222","3","222","0","0","31.966871000","8.9960","197.42","N/A"
"1.1.2.3","41216","5.6.7.8","http","3","222","3","222","0","0","32.078277000","8.9966","197.41","N/A"
"1.1.2.3","41217","5.6.7.8","http","3","222","3","222","0","0","32.581762000","8.9971","197.40","N/A"
"1.1.2.3","41218","5.6.7.8","http","3","222","3","222","0","0","32.601245000","8.9991","197.35","N/A"
"1.1.2.3","41219","5.6.7.8","http","3","222","3","222","0","0","32.702089000","8.9968","197.40","N/A"
"1.1.2.3","41220","5.6.7.8","http","3","222","3","222","0","0","32.731781000","8.9951","197.44","N/A"
"1.1.2.3","41221","5.6.7.8","http","3","222","3","222","0","0","32.946150000","8.9967","197.41","N/A"
"1.1.2.3","41222","5.6.7.8","http","3","222","3","222","0","0","33.113318000","8.9975","197.39","N/A"
"1.1.2.3","41223","5.6.7.8","http","3","222","3","222","0","0","33.145152000","8.9977","197.38","N/A"
"1.1.2.3","41224","5.6.7.8","http","3","222","3","222","0","0","33.409183000","8.9992","197.35","N/A"
"1.1.2.3","41225","5.6.7.8","http","3","222","3","222","0","0","34.122855000","8.9960","197.42","N/A"
"1.1.2.3","41226","5.6.7.8","http","3","222","3","222","0","0","34.467731000","8.9951","197.44","N/A"
"1.1.2.3","41227","5.6.7.8","http","3","222","3","222","0","0","34.788985000","8.9979","197.38","N/A"
"1.1.2.3","41228","5.6.7.8","http","3","222","3","222","0","0","34.823794000","8.9950","197.44","N/A"
"1.1.2.3","41229","5.6.7.8","http","3","222","3","222","0","0","35.250115000","8.9968","197.40","N/A"
"1.1.2.3","41230","5.6.7.8","http","3","222","3","222","0","0","35.357653000","8.9972","197.39","N/A"
"1.1.2.3","41231","5.6.7.8","http","3","222","3","222","0","0","35.365016000","8.9978","197.38","N/A"
"1.1.2.3","41232","5.6.7.8","http","3","222","3","222","0","0","35.832451000","8.9999","197.34","N/A"
"1.1.2.3","41233","5.6.7.8","http","3","222","3","222","0","0","35.935948000","8.9989","197.36","N/A"
"1.1.2.3","41234","5.6.7.8","http","3","222","3","222","0","0","36.149674000","8.9972","197.40","N/A"
"1.1.2.3","41235","5.6.7.8","http","3","222","3","222","0","0","36.688314000","8.9985","197.37","N/A"
"1.1.2.3","41236","5.6.7.8","http","3","222","3","222","0","0","37.199407000","8.9954","197.43","N/A"
"1.1.2.3","41237","5.6.7.8","http","3","222","3","222","0","0","37.371192000","8.9957","197.43","N/A"
